PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1444,3.202,34.603,34.603,3.202,1443.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1446,3.201,34.603,34.603,3.201,1445.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1448,3.2,34.603,34.603,3.2,1447.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1450,3.199,34.603,34.603,3.199,1449.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1452,3.195,34.603,34.603,3.195,1451.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1454,3.19,34.603,34.603,3.19,1453.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1456,3.187,34.603,34.603,3.187,1455.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1458,3.187,34.603,34.603,3.187,1457.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1460,3.186,34.603,34.603,3.186,1459.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1462,3.186,34.603,34.603,3.186,1461.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
