PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,3,28.407,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,4,28.401,35.255,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,5,28.411,35.253,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,6.04,28.41,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,7,28.408,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,7.96,28.408,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,9,28.409,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,10,28.407,35.253,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,12,28.401,35.254,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,14,28.369,35.258,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,16.04,28.259,35.276,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,18.08,27.838,35.345,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,20,27.014,35.431,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,22,26.21,35.441,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,24,25.693,35.427,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,26.04,24.797,35.4,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,28.04,24.075,35.32,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,30,23.55,35.255,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,31.96,23.314,35.239,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,34,23.224,35.235,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,36,23.12,35.23,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,38,22.922,35.228,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,40,22.7,35.223,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,42,22.257,35.229,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,44,22.007,35.226,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,45.96,21.827,35.222,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,48,21.612,35.227,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,50.04,21.183,35.247,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,51.96,20.861,35.265,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,54,20.688,35.261,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,56.04,20.564,35.257,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,57.96,20.308,35.264,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
