PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1037.58,4.3223,34.5393,34.5393,4.3223,1037.45,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1048.05,4.2722,34.54,34.54,4.2722,1047.92,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1057.52,4.223,34.5412,34.5412,4.223,1057.39,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1068,4.1863,34.5433,34.5433,4.1863,1067.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1077.53,4.1335,34.5441,34.5441,4.1335,1077.4,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1088.58,4.0968,34.5478,34.5478,4.0968,1088.45,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1099.04,4.055,34.5488,34.5488,4.055,1098.91,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1108.33,4.0121,34.5495,34.5495,4.0121,1108.2,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1118.19,3.9781,34.5504,34.5504,3.9781,1118.06,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1128.15,3.9484,34.5523,34.5523,3.9484,1128.02,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
