PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,60,18.491,35.172,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,62,18.467,35.169,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,64.04,18.444,35.165,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,66,18.438,35.163,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,67.96,18.432,35.162,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,69.96,18.42,35.16,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,72,18.415,35.159,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,74.04,18.402,35.157,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,76.04,18.382,35.155,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,78.04,18.367,35.152,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
